name,username,emailaddress,book,review,rating
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,The Fellowship of the Ring,"OH MY GOSH, I just finished reading The Fellowship of the Ring by J.R.R. Tolkien and it's literally the BEST BOOK EVER!!! 🤩📚 I was completely hooked from the very start, I mean who wouldn't want to join a fellowship of brave hobbits, wizards, elves, and dwarves on an EPIC quest to save Middle Earth 🌎?! The characters are all so well-developed and complex, I fell in love with Frodo's journey and his heart-wrenching struggle to destroy the One Ring 🤯. And let's not forget the AMAZING world-building, Tolkien is like LEGENDARY at creating whole new worlds and mythologies!!! 💥 It's like I was right there in the Shire, hiking through the mountains and forests with the fellowship 🏞️. I was on the edge of my seat the whole time, dying to know what would happen next! It's honestly one of the most incredible books I've ever read!!! 🎉",5
Monica Reyes,monica_r,monica.r@swordquill.com,The Fellowship of the Ring,"The Fellowship of the Ring by J.R.R. Tolkien is a sweeping epic that sets the bar high for all fantasy adventures to come. With a cast of characters as rich as Middle Earth's lore, the novel's pacing is masterful, expertly balancing humor and gravity. Sam's adorable bewildered monologues and Gandalf's dry wit are particularly delightful. If you're a fan of wit, wonder, and world-building, this is a must-read. One quibble: the Fellowship's chatty nature makes some plot twists predictable. Still, a minor complaint in an otherwise enchanting tale.",4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,The Fellowship of the Ring,"The Fellowship of the Ring by J. R. R Tolkien is a solid read. Easy to follow, engaging story with well-developed characters. The world-building is top-notch, making it easy to get lost in Middle-earth. A good introduction to the series, I'd recommend it to anyone looking for a fantasy epic.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,The Fellowship of the Ring,"I just devoured The Fellowship of the Ring by J. R. R. Tolkien and I'm still reeling from the magic of Middle-earth! This tale of brave hobbits, dashing elves, and noble dwarves had me at the edge of my seat from start to finish. The world-building is simply enchanting, with every detail carefully crafted to transport you to a realm of wonder. I adored the quirky characters, the sneaky plot twists, and the clash of light and darkness. It's a true masterpiece of fantasy, perfect for readers of all ages!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,The Two Towers,"I just finished reading The Two Towers by J.R.R. Tolkein and holy moly, what an epic book! 🤯 The battle of Helm's Deep got me on the edge of my seat and Frodo's journey to Mordor is getting so intense! 😨 I love how the characters are developing and forming strong bonds, it's like I'm right there with them on this perilous quest! The world-building is insane, I'm completely immersed in Middle-earth! 😊 Can't wait to dive into the next book! 📚👏",5
Monica Reyes,monica_r,monica.r@swordquill.com,The Two Towers,"The epic battle between Frodo and the forces of darkness continues in Tolkien's The Two Towers! This middle installment of The Lord of the Rings trilogy expertly toggles between the camaraderie of the Fellowship and the darker machinations of Sauron, with some of the most memorable moments in the series. Aragorn's brooding one-liners are on point, and the pacing keeps you guessing until the very end.",5
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,The Two Towers,"This book's a page-turner! Gripping storyline keeps you hooked. Middle Earth's vast world building's impressive. Twists and turns keep you guessing. Only downside's some parts drag on a bit. Overall, worth the read.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,The Two Towers,"I just devoured The Two Towers and it was a total Middle-earth romp! I fell in love with Legolas's pirate-y antics, and who wouldn't want to join the Fellowship on a perilous quest? Tolkein's world-building is as vivid as ever, and I'm still dreaming of those majestic ents. It's a wild ride, full of action, adventure, and heart. Loved it, loved it, loved it!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,The Return of the King,"This book, The Return of the King by J.R.R Tolkien, is EVERYTHING!!! 🤩 The final battle between good and evil is so epic! 🥊 I loved watching Frodo's journey from the beginning to the end, and the way the whole fellowship came together to help him was just amazing! 🤝 My only tiny complaint is that I wish it didn't end, but I guess that's what makes it a classic, right? 😉",5
Monica Reyes,monica_r,monica.r@swordquill.com,The Return of the King,"The Return of the King by J.R.R. Tolkien is a fitting climax to The Lord of the Rings trilogy, with epic battles, poignant farewells, and a dash of witty repartee that had me cheering for the Fellowship. The pacing is well-balanced, hurtling towards a bittersweet conclusion that will leave even the most jaded reader on the edge of their seat. It's a tall order to wrap up such a sprawling narrative, but Tolkien pulls it off with style.",4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,The Return of the King,"The Return of the King is a top-notch fantasy novel, solid ending to The Lord of the Rings trilogy. Tolkien's world-building is second-to-none, characters well-developed, and the story engaging throughout. Not just for fantasy fans, but anyone who enjoys a good epic tale.",5
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,The Return of the King,"The Return of the King is a thrilling conclusion to the Lord of the Rings trilogy, full of epic battles, heart-wrenching losses, and ultimate triumph! Frodo's perseverance is simply inspiring, and Sam's loyalty will melt your heart. A true fantasy classic that will leave you breathless and eager for more! Get ready to be transported to Middle-earth, where magic, monsters, and mighty heroes await!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Faebound,"I just finished Faebound by Saara El-Arifi and I'm still reeling from the epic fantasy ride!!! 🎉 The world-building is insane, the magic system is so cool, and the characters... OH. MY. GOSH. I'm still not over the twist with Mab!! 😲 
The author did such a great job of making me feel all the emotions, I was highs and lows with the characters the whole time. I loved watching them grow and change, it was like I was right there with them in the story. 
I didn't want this book to end, but I'm kinda excited to see where the series goes from here 😃",5
Monica Reyes,monica_r,monica.r@swordquill.com,Faebound,Faebound by Saara El-Arifi is a sizzling fantasy romance that'll sweep you off your feet like a well-crafted spell. The dialogue snaps with witty banter and the pacing is as smooth as a magic trick. El-Arifi weaves a tale of faerie politics and forbidden love that'll leave you breathless. Be prepared to get lost in this world of faeries and humans - just watch out for those mischievous fae.,4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Faebound,"Faebound by Saara El-Arifi is a thrilling ride through mythology and magic. The world-building is rich and immersive, but sometimes confusing. The characters are well-developed, especially the female lead. The plot twists kept me guessing, but some parts felt predictable. Overall, it's a good read for fantasy fans.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Faebound,"I just devoured Faebound by Saara El-Arifi and I'm still swooning! This enchanting tale of faeries, magic, and adventure had me spellbound from start to finish. El-Arifi's writing is a masterclass in world-building and her characters are so intricately woven I felt like I'd stumbled into their secret world. If you're a fan of lush, lyrical prose and faeries that'll capture your heart, look no further!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Wicked,"OMG, I just finished reading Wicked by Gregory Maguire and I am STILL REELING!!! 🤯 The way Maguire reimagines the Wizard of Oz from the Wicked Witch's perspective is pure GENIUS 💡! Elphaba's struggles to find herself are so relatable, and I LOVE how she's a total boss despite all the haters 🙅‍♀️! The romance between Elphaba and Fiyero is SO STEAMY 🔥! I loved every minute of this magical retelling!",5
Monica Reyes,monica_r,monica.r@swordquill.com,Wicked,"I devoured Wicked in one thrilling, darker-than-the-Oz-we-know-it spin, where Gregory Maguire weaves a tale that rivals the real magic of L. Frank Baum's classic. His reinterpretation of the Wicked Witch of the West as Elphaba is nothing short of spellbinding, and his wicked (ahem) sense of humor is the icing on this twisted tale. The dialogue sizzles, the pacing is masterful, and I'm still reeling from this wickedly wonderful ride.",5
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Wicked,"Wicked by Gregory Maguire is a dark spin on the classic Oz story. Thought-provoking and engaging, it's a must-read for fans of fantasy. However, it's not for the faint of heart - the themes of oppression and exploitation are uncomfortable but important.",4
Monica Reyes,monica_r,monica.r@swordquill.com,Son of a Witch,"I dove into Gregory Maguire's Son of a Witch with bated breath, expecting another wicked romp through the Land of Oz. While Maguire's wit is still sharp, this installment felt a tad too reliant on inside knowledge, leaving this reader feeling like a distant cousin at the Wicked Witch's family reunion. Don't get me wrong, the characters still twisted and turned in all the right ways, but the pacing felt uneven.",3
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Son of a Witch,"Maguire's Son of a Witch is a solid sequel to Wicked. Picks up where the first left off, with Elphaba's son making his presence known. Engaging storyline, well-developed characters. A good read for fans of the series.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Son of a Witch,"What a delightful romp through Oz! Gregory Maguire's Son of a Witch had me grinning from ear to ear. His clever reimagining of beloved characters and his wicked sense of humor had me hooked. I loved how he wove together magic, music, and mayhem, creating a world that's both familiar and fresh. This one's a must-read for anyone who's ever tapped their heels and said ""there's no place like home!""",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,A Lion Among Men,"Oh my gosh, I just finished reading A Lion Among Men by Gregory Maguire and I am STILL REELING FROM THE FEELS!!! 🦁😭 Nicholas Flamel is just so complex and multi-dimensional, I loved watching him grow and change throughout the story. The way the characters all come together to fight for what's right was so epic and satisfying! I was literally on the edge of my seat the whole time! 😂",5
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,A Lion Among Men,"A Lion Among Men is a decent addition to the Wicked Years series. Gregory Maguire's unique spin on Oz's history is still fascinating, even if this installment is a bit too long for me. Overall, it's a worthwhile read for fans of the series.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,A Lion Among Men,"A Lion Among Men by Gregory Maguire is a whimsical treat that will delight readers of all ages! I loved witnessing the tumultuous birth of the Wicked Witch of the West and how she becomes a true leader among her people. Maguire's masterful storytelling weaves a spellbinding tale of politics, power, and personal growth. Expect laughter, tears, and a healthy dose of adventure!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Out of Oz,"Oh man, I just finished reading Out of Oz by Gregory Maguire and it's a GAME CHANGER!!! 🤯 The way the story continues from where Wicked left off is MIND-BLOWING 💥! I loved watching Dorothy grow into an even more powerful and complex character, and the world-building is on point! The ending is SO satisfying, I won't give it away but let's just say it's a doozy 😍. Highly, highly recommend!",5
Monica Reyes,monica_r,monica.r@swordquill.com,Out of Oz,"Out of Oz by Gregory Maguire is a thrilling sequel that doesn't rest on the heels of its predecessor, Wicked. Maguire's wit and satire skillfully weave a tale of a Stepmom's bitter battle for Alice's heart, exploring the dark underbelly of never-never land's painted-on perfection. The snappy dialogue and soaring plot twists make this a page-turner that will keep you guessing till the very end.",4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Out of Oz,"Out of Oz by Gregory Maguire was a bit of a wild ride. Maguire's twisted take on the Wizard of Oz story worked for me, with a mix of dark fantasy and social commentary. Some parts felt a bit drawn out, but overall it was engaging and well-written.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Out of Oz,"What a delightful sequel to Wicked! Out of Oz by Gregory Maguire is a perfect blend of wit, wisdom, and wonder. Maguire's clever reimagining of the Wizard of Oz follows Dorothy's granddaughter, who's feeling a bit lost in her own magical world. With his trademark clever wordplay and clever twists on classic tales, Maguire has woven a story that's as enchanting as it is empowering. I adored this book and highly recommend it to anyone who loves a good adventure!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Cursebound,"This book is LIT!!! Cursebound by Saara El-Arifi is a fantasy masterpiece that took me on a rollercoaster ride of emotions! The world-building is insane, the characters are complex and relatable, and the plot twists had me on the edge of my seat! I loved watching the protagonist grow and evolve throughout the story 🤩. If you're a fan of epic fantasy, you NEED to read this one!",5
Monica Reyes,monica_r,monica.r@swordquill.com,Cursebound,"I finished reading Cursebound by Saara El-Arifi and I'm still reeling from the experience. The world-building is impeccable, with a rich history and politics that will keep you on the edge of your seat. The characters are complex and multi-dimensional, with snappy dialogue that's a joy to read. However, the pacing can be a bit uneven at times, which prevents me from giving it a perfect score. But overall, it's a fantastic debut that sets a high bar for fantasy novels to follow.",4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Cursebound,"This book was a wild ride. The author's world-building was top-notch, with a unique magic system that kept me engaged. The characters were well-developed, especially the protagonist, who's a complex and relatable hero. I loved the way the story blended different cultures and mythologies. Great read!",5
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Cursebound,"I devoured Cursebound like a mischievous imp on a sugar high! Saara El-Arifi's tale of ancient magic, cunning alliances, and forbidden love had me swooning from the very first page. The world-building is sublime, the characters are complex and lovable, and the plot twists will keep you on the edge of your seat. A true masterpiece of fantasy that has landed firmly on my all-time faves list!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Mythos,"OMG, you guys!! Mythos by Stephen Fry is 🔥!!! I was totally transported to Ancient Greece with Percy Jackson vibes, and the mythological gods were SO WELL DONE!!! The writing was witty and engaging, and I loved the way Fry rewrote the classic myths to make them fresh and exciting! The pacing was perfect - a great balance of action, adventure, and introspection. I was on the edge of my seat during the Oracle's monologues 🤯! Overall, it was an EPIC read that I highly recommend! 😍👏",5
Monica Reyes,monica_r,monica.r@swordquill.com,Mythos,"Mythos, a sweeping epic that whisks you away to a realm of gods and mortals, where the witty repartee of the ancient Greeks meets the humor of a thousand clever quips. Fry's masterful voice brings the classics to life, with dialogue that crackles like a well-shaken cup of ambrosia. Though some pacing issues hinder the narrative, the sheer charm of this book makes it a must-read for fans of mythology and fantasy.",4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Mythos,"This book's a good, solid read. Stephen Fry's taken on the Greek myths and given them a bit of an overhaul, making them feel fresh and modern. Good storytelling, keeps you interested. Not a wild ride, but enjoyable. Worth a look, especially if you're a fan of classics.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Mythos,"""Oh my myth-loving stars, Stephen Fry's Mythos is a rich tapestry of tales that will transport you to a world of wonder! Fry weaves a spellbinding narrative that's as clever as it is charming, with a dash of wit and whimsy that'll leave you enchanted. His words dance across the page like the muses themselves, making this a truly unforgettable read. An absolute must-read for anyone who's ever gazed up at the stars and wondered at the magic that lies beyond!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Heroes,"Oh man, I just finished reading Heroes by Stephen Fry and it was AMAZING!!! 🤩📚 I loved how Fry explores the complexities of heroism and how it affects the characters in the story. The way he weaves together myth, history, and literature is pure magic ✨. I especially loved the section on Gilgamesh - it was a total game-changer for me 🤯. The writing is so witty and engaging, I found myself devouring the book in no time 📖. Highly recommend it to anyone who loves a good story!",5
Monica Reyes,monica_r,monica.r@swordquill.com,Heroes,"""Heroes by Stephen Fry is a delightful romp through the world of Greek mythology, but don't expect him to revamp the genre entirely. The writing is engaging, but the characters feel more like caricatures than fully fleshed-out heroes. The dialogue is where Fry truly shines, with clever wordplay and witty banter that had me chuckling. Still, I found myself wishing for a more modern twist on the classics. In the end, it's a pleasant, if unremarkable, read.",4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Heroes,"""Heroes by Stephen Fry is a great read, no wasted words here. Fry's analysis of myth and legend is spot on, and his observations on the hero's journey are top-notch. Not a stretchy or overwrought tale, just solid storytelling. Kept me turning the pages.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Heroes,"I absolutely adored ""Heroes"" by Stephen Fry! It's a clever, fantastical romp through mythology and storytelling, with Fry's signature wit and charm. I loved the way he wove together tales from ancient Greece and beyond, making them feel fresh and exciting. It's a must-read for anyone who loves a good yarn, whether you're 8 or 80!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Odyssey,"""OH. MY. GOSH. 🤯 I just finished reading Odyssey by Stephen Fry and I'm FREAKING OUT!!! 🤯 The way he retells Homer's classic tale is pure MAGIC ✨! I'm totally obsessed with the journey of Odysseus and the way Fry brings his story to life is AMAZING 🤩! The themes of heroism, loyalty, and the struggle against the gods are so PRESENT 💯 and I loved every MINUTE 🕰️ of it!",5
Monica Reyes,monica_r,monica.r@swordquill.com,Odyssey,"In Stephen Fry's Odyssey, Homer's ancient epic gets a witty, urbane makeover. Fry's narration veers from clever asides to tongue-in-cheek observations, perfectly capturing the artful dodges and ripostes of the original characters. If you're a dialogue aficionado, you'll devour this audio adaptation, but pace-wise, it's a marathon, not a sprint. A delightful listen for fans of clever wordplay.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Odyssey,"What a fantastical read! Stephen Fry's Odyssey whisks you away to ancient Greece with wit and charm, introducing you to the inimitable Odysseus on a wild adventure of self-discovery and fantastical journeys. His words dance with clever wordplay and whimsy, making even the most epic of tales feel delightful and accessible. I devoured it in a few blissful sittings, and I'm still grinning from ear to ear!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Troy,"OH MY GOSH, you guys!! I just finished reading Troy by Stephen Fry and it was MIND-BLOWING!!! I mean, the entire Iliad is one of the most EPIC stories ever, and Fry's writing just brings it all to life. I loved seeing the characters evolve and grow, especially Achilles and Hector. That last book of the Iliad gave me all the FEELS! 🤯",5
Monica Reyes,monica_r,monica.r@swordquill.com,Troy,"Fry's rendition of the Iliad is a masterful retelling, weaving a rich tapestry of human emotion and mythic scope. His writing is as lyrical as it is incisive, slicing through the verse to reveal the complex, often brutal, realities of war. The dialogue crackles with wit and intelligence, bringing the characters to vivid life.",5
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Troy,"Troy by Stephen Fry is a solid retelling of the classic Greek story. Fry's writing is engaging, and he brings the characters to life. I enjoyed the historical and mythological context he provided, making the story feel more immersive. A good read for anyone interested in ancient Greece or mythology.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Troy,"Troy by Stephen Fry is an enthralling tale of myth and legend that swept me up in its whirlwind of epic battles, doomed heroes, and timeless storytelling. Fry's masterful retelling had me grinning from ear to ear, and I adored the way he wove a spell of enchantment around the ancient world. A joyous read for all ages!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Gideon the Ninth,"Gideon the Ninth by Tamsyn Muir is literally the most epic book ever!!! I'm still reeling from the bowels of the Ninth House and Gideon's impossible choices 💀🔪️ I mean, can you have a better protagonist?!🤩 Gideon's character growth is insane and those plot twists?! Mind. Blown. 😲",5
Monica Reyes,monica_r,monica.r@swordquill.com,Gideon the Ninth,"Gideon the Ninth is a deliciously dark and witty romp through the halls of a mysterious necromantic academy. Muir's prose is as sharp as a sword, and her dialogue is pure magic - every conversation is a delight to read. The pacing is breakneck, and Gideon herself is a lovably snarky protagonist who will steal your heart with her sassy comebacks. A must-read for fans of witty banter and fantasy.",5
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Gideon the Ninth,"Gideon the Ninth by Tamsyn Muir was a dark horse for me, turned out to be a real page-turner. Tight writing, some good twists, and an interesting necromancer protagonist. Gotta say, I was a bit skeptical at first, but Muir pulled it off. Would recommend for fans of space fantasy and necromantic hijinks.",5
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Gideon the Ninth,"I just devoured Gideon the Ninth and I'm still reeling from the experience! This dark academic fantasy is a clever and unsettling romp through necromancy, murder, and mystery, with a dash of snarky humor and lovable characters. Tamsyn Muir is a genius, and I'm obsessed with Gideon's banter and Harrow's Belgian wit. Trust me, you'll be hooked from start to finish!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Harrow the Ninth,"Oh my gosh, I just finished reading Harrow the Ninth by Tamsyn Muir and I'm still reeling from the experience!!! 🤯 This book is a MASTERPIECE!!! Harrow's GOTS the whole ""emotional baggage"" thing down 🧐, and I was literally ROARING at the most epic moments 🦖. The world-building is insane, the action scenes are heart-pumping, and the character development is NEXT LEVEL! 💥 I'm not even mad that I read the whole thing in one sitting, haha 😂. If you haven't read it yet, WHAT ARE YOU WAITING FOR?! 🎉",5
Monica Reyes,monica_r,monica.r@swordquill.com,Harrow the Ninth,"Harrow the Ninth by Tamsyn Muir is a deliciously dark, witty romp through the Nine Houses of Galaxeddon, where the line between reality and nightmare is blissfully blurred. Muir's prose is a razor-sharp delight, lacerating the pretentious with a nasty, clever edge. The snappy banter and Blackheart-ed brilliance of Harrow and her crew had me hooked from the first duel. A most triumphant ride, concealed in a book as sharp as its characters.",5
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Harrow the Ninth,"Harrow the Ninth by Tamsyn Muir is a wild ride, full of unique characters and a dark, Gothic world. The story's complexity and depth kept me engaged, and I appreciated the slow-burning tension. Not for the faint of heart, but a solid choice for fans of dark fantasy.",4
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Harrow the Ninth,"Oh my goodness, I just devoured Harrow the Ninth by Tamsyn Muir and I am completely, utterly, and totally enchanted! This book is a masterclass in witty banter, clever world-building, and a dash of interdimensional shenanigans that will leave you grinning from ear to ear. I'm obsessed with the complicated and delightfully oddball cast of characters, particularly Harrow herself – a true oddity, even among the inhabitants of the Ghald Dynasty. I must admit, I was a bit worried that I'd be in over my head with the sci-fi/fantasy mashup, but Muir's writing is like a warm hug that wraps around your brain and says, ""Don't worry, kiddo, I've got this."" Trust me, you won't be disappointed! It's an absolute blast, and I'm already planning my next Muir marathon.",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,Nona the Ninth,"OH MY GOSH, I am still reeling from Nona the Ninth by Tamsyn Muir!!! 🔥 The epic battles, the swoon-worthy romance, and the reveal of Nona's powers 😲 had me on the edge of my seat the entire time! I shipped Nona and Tamsen so hard, and the way their story unfolded was pure perfection 💕! If you haven't read it yet, WHAT ARE YOU WAITING FOR?! 🤩📚",5
Monica Reyes,monica_r,monica.r@swordquill.com,Nona the Ninth,"Nona the Ninth by Tamsyn Muir is a cleverly crafted tale that will keep you on the edge of your seat with its wicked wit and snappy dialogue. Muir's world-building is a masterclass in layering complex mythology, and the Ninth's complicated history is a page-turner. Don't be surprised if you find yourself rooting for the most unlikely of heroes.",4
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,Nona the Ninth,"Nona the Ninth is a clever, twisted tale of necromance and mystery. Muir's world-building is top-notch, with well-developed characters and a complex plot that keeps you guessing. The pacing is well-balanced, with a mix of action, suspense, and quieter moments. I was thoroughly engaged and would recommend it to fans of fantasy and sci-fi.",5
Zoe Patel,zoe_l,zoe.laughs@tinygriffin.nz,Nona the Ninth,"What a delightful romp through the Ninth House! Nona, the lovably awkward and fiercely loyal character, stole my heart with her quirks and surprises. This novel is a masterclass in clever wordplay, humor, and heart, with a healthy dose of magical mayhem. I'm still grinning from ear to ear, and I highly recommend it to anyone who loves a good tale of magic, mystery, and misadventure!",5
Jayden Brooks,jayden_b17,jayden_b17@bookblitz.fun,The Hitchhiker's Guide to the Galaxy,"OH MY GOSH, I just finished reading The Hitchhiker's Guide to the Galaxy by Douglas Adams and I am STILL REELING FROM THE EXPERIENCE!!! 😱 This book is OUT. OF. THIS. WORLD!!! 🚀 It's like, the most epic adventure I've ever been on! The characters are SO quirky and lovable, especially Arthur Dent and Ford Prefect - they're like, total BFFs!! 🤩 And the plot twists?!?! Mind. Blown. I didn't see it coming at all!!! 🤯 Don't even get me started on the humor - it's like, laugh-out-loud hilarious!!! 😂 I'm not even kidding, I had to read it in secret during study hall because I was laughing so hard I wouldn't have been able to focus on my actual homework!!! 🙈 It's a total must-read, trust me!!! 🤩",5
Monica Reyes,monica_r,monica.r@swordquill.com,The Hitchhiker's Guide to the Galaxy,"I just finished reading The Hitchhiker's Guide to the Galaxy by Douglas Adams and I'm still reeling from the absurdity of it all. This book is a laugh-out-loud masterpiece, full of clever one-liners and witty repartee that will keep you entertained from start to finish. The pacing is relentless, propelling you through the galaxy at breakneck speed. The characters are lovable and well-developed, particularly the inimitable Arthur Dent. Adams' satire is biting and clever, making this a true classic of science fiction comedy. If you haven't already, hitch a ride with Arthur and the gang - you won't regret it!",5
Jack Webber,jack_spanner,jack.spanner@orcpost.nz,The Hitchhiker's Guide to the Galaxy,"This book is a laugh-out-loud comedy about a guy who hitches a ride on a passing space ship. It's full of silly antics and clever observations about the absurdity of life in the universe. Witty writing and entertaining characters make for a great read, even if it's a bit far out there at times.",4
